"results_id","filename","ext_na","ext_st","ext_nst","ext_snt","ext_nsnt","int_st","int_nst","int_snt","int_nsnt"
"1","davies14","420","22","238","19","277","23","405","22","526"
"2","fusser29","381","21","38","236","404","64","39","464","513"
"3","roberts1","171","18","247","9","334","22","335","7","415"
"4","roberts2","488","18","319","22","605","40","494","38","880"
"5","roberts3","404","19","390","38","912","46","510","72","1135"
"6","roberts4","506","37","324","42","478","75","515","87","710"
"7","stammers4","298","20","204","8","339","11","342","15","501"
