"langid","surface","auto","count","filename"
"cym","am","for.PREP","650","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,41,42"
"cym","amaeth","agriculture.N.M.SG","1","10"
"cym","amansan","unk","2","27"
"cym","amarillas","unk","1","27"
"cym","amau","doubt.V.INFIN","2","26"
"cym","ambell","occasional.PREQ","10","6,19,22,28,30,36,42"
"cym","am_bod","unk","1","42"
"cym","am_byth","unk","1","39"
"cym","amdan","for_them.PREP+PRON.3P.NSTAN","6","4,6,38,39,41"
"cym","amdana","unk","2","5,25"
"cym","amdanach","unk","1","33"
"cym","amdanaf","for_me.PREP+PRON.1S","2","30,42"
"cym","amdanat","unk","4","12,23,37"
"cym","amdano","for_him.PREP+PRON.M.3S","19","2,4,5,11,19,24,32,35,36,37,38,42"
"cym","amdanom","for_us.PREP+PRON.1P","2","19,31"
"cym","amdanyn","for_them.PREP+PRON.3P","11","2,4,6,7,19,20,24,35,38"
"cym","amddiffyn","defend.V.INFIN","1","11"
"cym","amgueddfa","museum.N.F.SG","11","4,8,16,18,24"
"cym","America","America.NAME.F.SG.PLACE","2","26"
"cym","amgylchiadau","circumstances.N.M.PL","2","11"
"cym","aml","frequent.ADJ","35","2,4,5,6,7,8,11,12,14,22,24,26,31,32,38,39,42"
"cym","amlach","often.ADJ.COMP","1","41"
"cym","Amlwch","name","1","2"
"cym","amryw","several.PREQ","9","7,11,21,23,24,39,42"
"cym","amynedd","patience.N.M.SG","6","12,30,37"
"cym","amyneddg","unk","1","37"
"cym","amyneddgar","patient.ADJ","2","37"
"cym","ân","name","1","32"
"cym","anadlu","breathe.V.INFIN","2","7,22"
"cym","anaf","wound.N.M.SG","1","6"
"cym","anarferol","unusual.ADJ","1","4"
"cym","anda","unk","2","27"
"cym","anduvieron","unk","1","27"
"cym","andan","unk","1","27"
"cym","anesmwyth","unk","1","11"
"cym","andros","exceptionally.ADV","23","2,6,7,11,12,14,20,22,24,31,42"
"cym","anferth","huge.ADJ","3","6,7,9"
"cym","anffodus","unfortunate.ADJ","3","2,8,14"
"cym","anfon","send.V.INFIN","16","2,4,12,14,19,20,24,28,33,34"
"cym","anghofia","forget.V.2S.IMPER","3","11"
"cym","anghofiais","forget.V.1S.PAST","2","39"
"cym","anghofiodd","forget.V.3S.PAST","1","9"
"cym","anghyfforddus","unk","1","28"
"cym","Anglicanaidd","name","1","4"
"cym","anhygoel","incredible.ADJ","2","20,22"
"cym","anifail","animal.N.M.SG","2","36,37"
"cym","anifeiliad","unk","2","14,23"
"cym","Annibynnwyr","name","3","4"
"cym","annifyr","annoying.ADJ","2","9,30"
"cym","annodd","unk","14","15,30,37,39"
"cym","annoyed","unk","1","37"
"cym","annwyd","cold.N.M.SG","9","12,16,39"
"cym","año","unk","10","16,27"
"cym","años","unk","2","27"
"cym","anoche","unk","2","27"
"cym","anodd","difficult.ADJ","72","1,5,7,9,12,14,16,18,22,23,24,26,28,29,34,35,36,41"
"cym","anrhegio","unk","1","10"
"cym","anrhegiau","unk","3","41"
"cym","anrhegion","presents.N.F.PL","4","34,41"
"cym","ansoddeiriau","adjectives.N.M.PL","1","10"
"cym","anterior","unk","1","27"
"cym","anti","aunt.N.F.SG","15","3,8,19,22,36,38,42"
"cym","anthem","anthem.N.F.SG","1","6"
"cym","Anti","name","5","10,24,42"
"cym","anwybyddu","ignore.V.INFIN","1","11"
"cym","anwylyd","unk","1","24"
"cym","anyway","unk","5","23,37"
"cym","aprendió","unk","1","27"
"cym","appointment","unk","1","37"
"cym","aprovechando","unk","1","27"
"cym","â'r","name","1","41"
"cym","ara","unk","2","24,36"
"cym","almacén","unk","1","27"
"cym","Almaen","Germany.NAME.F.SG","3","2,4"
"cym","arglwydd","lord.N.M.SG","3","3,6,9"
"cym","Arglwydd","name","1","5"
"cym","argoel","unk","2","35"
"cym","ar_gyfer","for.PREP","8","3,7,23,32,34"
"cym","arholiad","examination.N.M.SG","7","29,37"
"cym","arhosan","wait.V.3P.FUT.SPOKEN","1","41"
"cym","arhoson","wait.V.1P.PAST.SPOKEN","1","38"
"cym","ar_hyd","unk","1","36"
"cym","arian","money.N.M.SG","38","2,3,5,6,10,11,19,23,24,26,28,30,32,33,37,39,41"
"cym","arhoswch","wait.V.2P.IMPER","1","14"
"cym","ariannol","monetary.ADJ","1","26"
"cym","arloesi","pioneer.V.INFIN","1","42"
"cym","armando","unk","1","27"
"cym","armi","unk","1","26"
"cym","arna","on_me.PREP+PRON.1S","12","7,10,11,21,24,30,34,39"
"cym","arnaf","on_me.PREP+PRON.1S","2","6,39"
"cym","arnat","on_you.PREP+PRON.2S","5","7,12,19"
"cym","arni","on_her.PREP+PRON.F.3S","17","4,6,7,14,30,31,32"
"cym","arnon","unk","6","11,22,39"
"cym","arnot","unk","2","19,35"
"cym","arnyn","on_them.PREP+PRON.3P","16","2,3,11,19,22,23,24,36,39"
"cym","ar_ol","unk","2","14"
"cym","ar_gau","unk","3","14,37"
"cym","argian","good_lord.IM","1","7"
"cym","arosodd","unk","1","23"
"cym","arreglar","unk","1","27"
"cym","arriba","unk","4","20,27"
"cym","arth","unk","1","32"
"cym","arw","rough.ADJ+SM","1","23"
"cym","ar_wahân","unk","1","6"
"cym","arweinydd","leader.N.M.SG[or]leader.N.M.SG","8","9,15,29"
"cym","arweinyddes","unk","1","9"
"cym","arwr","hero.N.M.SG","1","9"
"cym","arwydd","sign.N.MF.SG","2","24,37"
"cym","arwyddion","signs.N.MF.PL","1","32"
"cym","arwyddo","sign.V.INFIN","1","16"
"cym","asen","unk","1","30"
"cym","asgwrn","bone.N.M.SG","3","4,8"
"cym","aserrín","unk","1","24"
"cym","así","unk","11","16,27,33"
"cym","ast","unk","3","24"
"cym","astudiaethau","studies.N.F.PL","1","25"
"cym","astudio","study.V.INFIN","34","1,12,16,28,29,37,42"
"cym","at","to.PREP","83","2,3,4,5,6,7,8,11,12,14,18,20,21,22,23,24,25,26,30,31,32,33,34,35,36,37,39,42"
"cym","ata","unk","2","22,30"
"cym","atach","unk","1","22"
"cym","atat","to_you.PREP+PRON.2S","3","6,19"
"cym","atebiad","reply.N.M.SG","5","2,42"
"cym","atebodd","answer.V.3S.PAST","1","6"
"cym","atgofion","reminders.N.M.PL","4","4,36"
"cym","athrawes","teacher.N.F.SG","30","4,7,10,11,14,19,22,25,30,38,39,42"
"cym","athrawesi","unk","1","35"
"cym","athrawesydd","unk","1","12"
"cym","athrawon","teachers.N.M.PL","21","10,11,16,19,35,38,39"
"cym","athro","teacher.N.M.SG","20","2,4,6,11,28,35,42"
"cym","ato","to_him.PREP+PRON.M.3S","1","30"
"cym","atoch","to_you.PREP+PRON.2P","2","5,14"
"cym","aton","unk","1","42"
"cym","atrás","unk","1","27"
"cym","aunque","unk","1","27"
"cym","aunties","unk","1","10"
"cym","aur","gold.N.M.SG","1","26"
"cym","avión","unk","1","16"
"cym","awdur","author.N.M.SG","2","34"
"cym","awdurdodau","authorities.N.MF.PL","2","23"
"cym","awel","breeze.N.F.SG","2","9"
"cym","awgrymu","suggest.V.INFIN","2","25"
"cym","awn","go.V.1P.PRES","13","5,6,7,11,30,32,41"
